id,tender_id,title,issuing_authority,category,department,location,state,publish_date,deadline_date,source_url,description,tender_value,status
16101,,Quick Pay Bill Postpaid/Prepaid Recharge EPI,JBVNL,General,Social Welfare,Bihar,Unknown,,,https://cportal.jbvnl.co.in/cportal/#/guest/secure/searchbill,Quick Pay Bill Postpaid/Prepaid Recharge EPI,,open
16102,,Prepaid/Postpaid Consumer Login,JBVNL,General,Social Welfare,Bihar,Unknown,,,https://cportal.jbvnl.co.in/cportal/#/user/login,Prepaid/Postpaid Consumer Login,,open
16103,,RDSS SchemeSuvidha Portal(LT New Connection),JBVNL,General,Social Welfare,Bihar,Unknown,,,https://jbvnl.co.in/rdss-scheme,RDSS SchemeSuvidha Portal(LT New Connection),,open
16104,,Apply For Rooftop Solar(PM - SURYA GHAR),Solar,General,General,Bihar,Unknown,,,https://www.pmsuryaghar.gov.in/consumerLogin,Apply For Rooftop Solar(PM - SURYA GHAR),,open
16105,,SOLAR PROGRAMME,Solar,General,General,Bihar,Unknown,,,https://jbvnl.co.in/solar-program,SOLAR PROGRAMME,,open
16106,,Internal Management Circular Portal,JBVNL,General,General,Bihar,Unknown,,,https://jbvnl.co.in/imc,Internal Management Circular Portal,,open
16107,,Notice:Regarding submission of FPPPA Surcharge rates - Jan 2026,JBVNL,General,General,Bihar,Unknown,,,https://jbvnl.co.in/notice/commercial/Letter No 58 dtd. 30.01.2026280226.pdf,"Notice:Regarding submission of FPPPA Surcharge rates - Jan 2026Notice:Regarding submission of FPPPA Surcharge rates - Dec 2025Notice:Regarding submission of FPPPA Surcharge rates - Nov 2025Notice:Regarding submission of FPPPA Surcharge rates - Oct 2025Notice:Regarding submission of FPPPA Surcharge rates - Sept 2025Notice:Regarding submission of FPPPA Surcharge rates - August 2025Notice:Regarding submission of FPPPA Surcharge rates - July 2025Notice:Regarding submission of FPPPA Surcharge rates - May 2025Notice:ANNEXURE 1-10 ( MYT Petition)Notice:JBVNL’s Petition on True up for FY 24-25, APR for FY 25-26, ARR for FY 26-27 to FY 30-31 and Tariff Petition for FY 26-27",,open
16109,,Accounts:Standalone financial statement Q1(24-25),JBVNL,General,Social Welfare,Bihar,Unknown,,,https://jbvnl.co.in/upload/Standalone financial statement Q1(24-25).pdf,Accounts:Standalone financial statement Q1(24-25)Accounts:Standalone Financial Statement(Audited) For FY 2023-24Accounts:Audited CFS 2023-24Accounts:Comments of C &AG (SFS & CFS) 22-23Accounts:JBVNL Quarterly Financial Statements(Standlone) Of the Company As On 31.03.2024Accounts:Q3 Accounts (Dec'23) FY 23-24Accounts:Q2 Accounts(i.e. up to 30.09.2023) for FY 2023-24Accounts:Audited Q1 Accounts (upto 30.06.23) FY 23-24Accounts:Audited Q1 Accounts (upto 30.06.23) FY 23-24Accounts:Audited Annual Financial Statements (Standalone) FY 2022-23,,open
16112,,Jharkhand Bijli Vitran Nigam Ltd.,JUVNL,General,General,Bihar,Unknown,,,https://jbvnl.co.in,Jharkhand Bijli Vitran Nigam Ltd.Jharkhand State Electricity Regulatory CommissionJharkhand Urja Sancharan Nigam LimitedJharkhand portal,,open
16113,,"Notice
                                        Circulars",JUIDCO,General,General,Bihar,Jharkhand,,,https://juidco.jharkhand.gov.in/,"Notice
                                        Circulars",,open
16117,,Search :,ECR Railway,General,General,Bihar,Unknown,,,https://ecr.indianrailways.gov.in/,Search :,,open
16118,,About Us,ECR Railway,General,General,Bihar,Unknown,,,"https://ecr.indianrailways.gov.in/view_section.jsp?fontColor=black&backgroundColor=LIGHTSTEELBLUE&lang=0&id=0,1",About UsIntroductionCalendarOrganizational StructureDivyangjan FacilitiesSwachh Bharat MissionIntroductionDanapur DivisionPt.Deen Dayal Upadhyay DivisionDhanbad DivisionHead-QuarterSonpur DivisionSamastipur DivisionCitizen Charter of ECRHistoryHeritageDharohargram Rail Niketan HajipurPlant Depot DDUSonpur DivisionSamastipur DivisionDanapur DivisionDhanbad DivisionPt. Din Dayal Upadhyay DivisionWorkshop SamastipurCRW HarnautHajipur H.Q.AdministrationZRUCCDivisional Level MP  MeetingHoliday HomesRTIGazetted And Non-Gazetted Quarter AllotmentRest HouseCivil DefenceNotification of RA PanelECRSAOrganisationDirectoryCheck list for Rajbhasha Inspection in Railway officesGazett Notification of ECRTransformation Cell CircularsSCHEDULE OF POWERRB Corrigendum Slip of MSOPCourt CasesPREM20172018201920212022202320242025PersonnelTransfer/Posting orders (Gaz)Transfer /Posting Non GazEstablishment CircularsCPO’s Circulars202620252024202320222021202020192018201720162015201420122013201120102009200820072,,open
16119,,PNR Status Check,ECR Railway,General,Social Welfare,Bihar,Unknown,,,http://indianrail.gov.in/pnr_Enq.html,"Passenger SectionPNR Status CheckBerth / Seat ReservationTrain ScheduleTrains between StationsSpot your TrainSeat AvailabilityTourists SectionSpecial Tourist TrainsHoliday PackagesRail Tour PackagesPrevention of WannaCry Ransomware Threat -session by CERT-InSofacy Advisory1Shri Ashwini VaishnawHonorable Minister for RailwaysShri V. SomannaHonorable Minister of State for RailwaysShri Ravneet SinghHonorable Minister of State for RailwaysGati-Shakti Cargo Terminal (GCT) Applicationwww.newindia.inGoods-Sheds DirectoryHRMSUMIDe-OfficeE-tenderअनुभव (Retired staffs)Link to CVC Website for e-pledgeGSTGSTN MANUAL INVOICE FORM.Rail Madad LinkInvitation of ""Expression of Interest” for enlistment of vendors for supply of spares of Cummins (CIL) and Caterpillar (CAT) make Diesel Engines fitted in Diesel Electrical Multiple Unit (DEMU) at East Central RailwayInvitation of ""Expression of Interest” for Outsourcing of Bogie Overhauling (OVH) of LHB Bogies under POH and IOH at East Central RailwayInvita",,open
16120,,Special Tourist Trains,ECR Railway,General,Social Welfare,Bihar,Unknown,,,https://www.irctctourism.com/,Special Tourist TrainsHoliday PackagesRail Tour Packages,,open
16121,,Prevention of WannaCry Ransomware Threat -session by CERT-In,ECR Railway,General,General,Bihar,Unknown,,,http://webcast.gov.in/cert-in/,Prevention of WannaCry Ransomware Threat -session by CERT-In,,open
16122,,Sofacy Advisory,ECR Railway,General,General,Bihar,Unknown,,,https://ecr.indianrailways.gov.in/nciipc.htm,Sofacy Advisory,,open
16124,,Tweets by @ECRly,ECR Railway,General,General,Bihar,Unknown,,,https://twitter.com/ECRlyHJP,Tweets by @ECRlyEast Central Railway,,open
16125,,Admin Login,ECR Railway,General,General,Bihar,Unknown,,,https://ecr.indianrailways.gov.in/cris/webadmin/,"Admin Login|Site Map|Contact Us|RTI|Disclaimer|Terms & Conditions|Privacy PolicyÂ© 2016  All Rights Reserved.This is the Portal of Indian Railways, developed with an objective to enable a 
						single window access to information and services being provided by the 
						various Indian Railways entities. The content in this Portal is the result of a 
						collaborative effort of various Indian Railways Entities and Departments Maintained by CRIS, Ministry of Railways, Government of India.",,open
16129,,REGULATION OF TRAINS DUE TO PLATFORM UPGRADATION WORKS  AT PURI STATION IN EAST COAST RAILWAYHOLI SPECIAL TRAIN BETWEEN SANTRAGACHI AND YESVANTPURREGULATION OF TRAINS DUE TO DEVELOPMENTAL WORKS IN ADRA DIVISIONHOLI SPECIAL TRAINS BETWEEN RANCHI AND ANAND VIHARHOLI SPECIAL TRAINS  BETWEEN GOMTI NAGAR AND MALATIPATPUR (Near Puri)SER TO RUN SPECIAL TRAINSHON’BLE MPs OF DIVISIONAL COMMITTEE OF KHARAGPUR AND ADRA  HELD MEETING WITH GENERAL MANAGER OF SOUTH EASTERN RAILWAYCONTINUATION OF SPECIAL TRAIN,Railway,Works,Transport,"Ranchi, Jharkhand",Unknown,,,"https://ser.indianrailways.gov.in/view_detail.jsp?lang=0&dcd=8993&id=0,4,423",REGULATION OF TRAINS DUE TO PLATFORM UPGRADATION WORKS  AT PURI STATION IN EAST COAST RAILWAYHOLI SPECIAL TRAIN BETWEEN SANTRAGACHI AND YESVANTPURREGULATION OF TRAINS DUE TO DEVELOPMENTAL WORKS IN ADRA DIVISIONHOLI SPECIAL TRAINS BETWEEN RANCHI AND ANAND VIHARHOLI SPECIAL TRAINS  BETWEEN GOMTI NAGAR AND MALATIPATPUR (Near Puri)SER TO RUN SPECIAL TRAINSHON’BLE MPs OF DIVISIONAL COMMITTEE OF KHARAGPUR AND ADRA  HELD MEETING WITH GENERAL MANAGER OF SOUTH EASTERN RAILWAYCONTINUATION OF SPECIAL TRAINS DURING HOLICHENNAI EGMORE-SANTRAGACHI-MGR CHENNAI CENTRAL HOLI SPECIAL TRAINSEXTENSION OF HOWRAH-TITLAGARH-HOWRAH ISPAT EXPRESS  UPTO JUNAGARH ROADCONTINUATION OF PANSKURA-DIGHA-PANSKURA EMU SPECIAL  UPTO 16.05.2026TATANAGAR-KATIHAR-TATANAGAR HOLI SPECIALREGULATION OF TRAINS DUE TO DEVELOPMENTAL WORKS IN ADRA DIVISIONCONTINUATION OF SPECIAL TRAINS DURING HOLISHALIMAR-CHARLAPALLI-SHALIMAR HOLI SPECIAL TRAINSCONVERSION OF RAKE INTO LHB  OF 12885/12886 SHALIMAR-BHOJUDIH-SHALIMAR ARANYAK EXPRESSSH,,open
16130,,Tweets by @serailwaykol,Railway,General,Transport,Bihar,Unknown,,,https://twitter.com/serailwaykol,Tweets by @serailwaykol,,open
16134,,Cashless Treatment Scheme in Emergency(CTSE),ER Railway,General,Health,Bihar,Unknown,,,https://er.indianrailways.gov.in/home.jsp,Cashless Treatment Scheme in Emergency(CTSE)ARPANPF Balance EnquiryOPD Booking in Railway Hospital,,open
16137,,"TEMPORARY ADDITIONAL STOPPAGE AT JALALKHALI STATION FOR MEGA BIBLE CONVENTION FROM 05.03.2026 TO 08.03.2026CANCELLATION OF EMU LOCALS DURING DOLYATRA OVER HOWRAH DIVISION ON 03.03.2026CONTINUATION OF RUNNING OF BHAGALPUR – GHANDHIDHAM – BHAGALPUR SPECIALEASTERN RAILWAY ADDS FOUR(4) HOLI SPECIALS, BOOSTS FESTIVAL CONNECTIVITYEASTERN RAILWAY TO RUN TWO HOLI SPECIAL TRAINSTRAVEL MADE COLOURFUL: EASTERN RAILWAY ANNOUNCES FOUR (04) HOLI SPECIAL TRAINSEASTERN RAILWAY FACILITATES JOYOUS HOLI CELEBRATIO",Railway,General,Transport,"Bhagalpur, Bihar",Unknown,,,"https://er.indianrailways.gov.in/view_detail.jsp?lang=0&dcd=11322&id=0,4,268","TEMPORARY ADDITIONAL STOPPAGE AT JALALKHALI STATION FOR MEGA BIBLE CONVENTION FROM 05.03.2026 TO 08.03.2026CANCELLATION OF EMU LOCALS DURING DOLYATRA OVER HOWRAH DIVISION ON 03.03.2026CONTINUATION OF RUNNING OF BHAGALPUR – GHANDHIDHAM – BHAGALPUR SPECIALEASTERN RAILWAY ADDS FOUR(4) HOLI SPECIALS, BOOSTS FESTIVAL CONNECTIVITYEASTERN RAILWAY TO RUN TWO HOLI SPECIAL TRAINSTRAVEL MADE COLOURFUL: EASTERN RAILWAY ANNOUNCES FOUR (04) HOLI SPECIAL TRAINSEASTERN RAILWAY FACILITATES JOYOUS HOLI CELEBRATIONS WITH SPECIAL TRAIN SERVICESAUGMENTATION OF ADDITIONAL ONE SLEEPER CLASS COACH IN DIBRUGARH – DEOGHAR – DIBRUGARH EXPRESSPARTIAL CANCELLATION OF SOME MAIL/EXPRESS TRAINS BETWEEN ANDAL & DURGAPUR STATIONS",,open
16138,,Tweets by EasternRailway,Railway,General,Transport,Bihar,Unknown,,,https://twitter.com/EasternRailway?ref_src=twsrc%5Etfw,Tweets by EasternRailwayEastern Railway,,open
16141,,"Purchase of ""High Tone Therapy Unit"" for the department of Physiotherapy, IGIMS- Patna on Proprietar",IGIMS,Goods,General,"Patna, Bihar",Unknown,,,https://igims.org/,"Purchase of ""High Tone Therapy Unit"" for the department of Physiotherapy, IGIMS- Patna on Proprietary basis Inviting Comments Thereon.",,open
16143,,Laboratory ServicesChild Health CarePatient Care,IGIMS,Goods,Health,Bihar,Unknown,,,https://igims.org/topics.aspx?mid=Laboratory Services,Laboratory ServicesChild Health CarePatient Care,,open
16144,,"Welcome to Our InstituteFree drugs for Hepatitis B & C patients under NATIONAL VIRAL HEPATITIS CONTROL PROGRAMME. Contact: Department of Gastroenterology, 3rd Floor, Poly Clinic Block, IGIMS, Patna.IGIMS was established on 19th November 1983, as an autonomous organisation on the pattern of All India Institute of Medical Sciences, New Delhi. The objective was to provide super specialty medical facilities in Bihar. On 27th January 1983 Cabinet approved the completion of this massive project in 4 p",UP,Goods,Health,"Patna, Bihar",Unknown,,,https://igims.org/topics.aspx?mid=Welcome to Our Institute,"Welcome to Our InstituteFree drugs for Hepatitis B & C patients under NATIONAL VIRAL HEPATITIS CONTROL PROGRAMME. Contact: Department of Gastroenterology, 3rd Floor, Poly Clinic Block, IGIMS, Patna.IGIMS was established on 19th November 1983, as an autonomous organisation on the pattern of All India Institute of Medical Sciences, New Delhi. The objective was to provide super specialty medical facilities in Bihar. On 27th January 1983 Cabinet approved the completion of this massive project in 4 phases within a span of six (6) years. According to the decision of State Government, 130.20 Acres of land was transferred to IGIMS.+moreCommon Bio-Medical Waste Treatment Facility.Hospital wastes have always been considered as potentially hazardous in view of   the inherent potential for dissemination of infection. The major identified hazard   was that of infection, because over millennia communicable diseases had been   the most common causeof morbidity and mortality in the community and   maj",,open
16146,,2nd Institute Research Day would be commemorated on 24th March 2026.,IGIMS,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=3598,"2nd Institute Research Day would be commemorated on 24th March 2026.Stipend to MD/MS and DM/M.Ch.Upcoming meeting of Institute Research Committee (IRC) on 27th and 28th Feb-2026.Institute Day Committees - 2026ASSESSMENT PERSONAL PROMOTION SCHEME 2025ASSESSMENT PERSONAL PROMOTION SCHEME 2026ATLS, Provider Course Calendar 2026, IGIMS, PatnaHMIS / HIS Registration Form to Institute Official Website.Affidavit Regarding Ragging.Research Ideas / Concepts for the Competitive SessionConflict of Interest - Declaration",,open
16147,,Stipend to MD/MS and DM/M.Ch.,IGIMS,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=3597,Stipend to MD/MS and DM/M.Ch.,,open
16148,,Upcoming meeting of Institute Research Committee (IRC) on 27th and 28th Feb-2026.,UP,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=3596,Upcoming meeting of Institute Research Committee (IRC) on 27th and 28th Feb-2026.,,open
16149,,Institute Day Committees - 2026,IGIMS,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=3595,Institute Day Committees - 2026,,open
16150,,ASSESSMENT PERSONAL PROMOTION SCHEME 2025,IGIMS,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=2594,ASSESSMENT PERSONAL PROMOTION SCHEME 2025,,open
16151,,ASSESSMENT PERSONAL PROMOTION SCHEME 2026,IGIMS,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=2593,ASSESSMENT PERSONAL PROMOTION SCHEME 2026,,open
16152,,"ATLS, Provider Course Calendar 2026, IGIMS, Patna",IGIMS,General,General,"Patna, Bihar",Unknown,,,https://igims.org/newsdetails.aspx?mid=2589,"ATLS, Provider Course Calendar 2026, IGIMS, Patna",,open
16153,,HMIS / HIS Registration Form to Institute Official Website.,Registration,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=2585,HMIS / HIS Registration Form to Institute Official Website.,,open
16154,,Affidavit Regarding Ragging.,IGIMS,General,General,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=2581,Affidavit Regarding Ragging.,,open
16155,,Research Ideas / Concepts for the Competitive Session,IGIMS,General,General,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=2578,Research Ideas / Concepts for the Competitive Session,,open
16156,,Conflict of Interest - Declaration,IGIMS,General,Social Welfare,Bihar,Unknown,,,https://igims.org/newsdetails.aspx?mid=2567,Conflict of Interest - Declaration,,open
16159,,Archive,IGIMS,General,General,Bihar,Unknown,,,https://igims.org/OpportunitiesList.aspx?type=pt,Archive,,open
16160,,Admission Notice: Advt. No-01/Acad./2026: Application are invited from eligible Indian Citizen for admission to the various Ph.D programme  in the session (July) 2025.,IGIMS,General,General,Bihar,Unknown,,,https://igims.org/TrainingList.aspx?type=ac,Admission Notice: Advt. No-01/Acad./2026: Application are invited from eligible Indian Citizen for admission to the various Ph.D programme  in the session (July) 2025.,,open
16164,,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna was setup with anobjective to provide the best medicare facilities to the peoples in and around Bihar.The hospital aims to be the AIIMS of this region.So far, it has been successful inachieving part of its goal and IGIMS is acting hard to achieve its goals for the broaderinterest of masses.ON-LINE OPD REGISTRATIONSOTTO BIHARCOVID 19 MEDICAL ARTICLES UPDATEJOURNAL of  IGIMS - PATNANIRFEMPLOYEE CORNER",Registration,Works,Health,"Patna, Bihar",Unknown,,,http://igims.org/Datafiles/cms//OPD APP.pdf,"MissionIndira Gandhi Institute of Medical Sciences, Sheikhpura, Patna was setup with anobjective to provide the best medicare facilities to the peoples in and around Bihar.The hospital aims to be the AIIMS of this region.So far, it has been successful inachieving part of its goal and IGIMS is acting hard to achieve its goals for the broaderinterest of masses.ON-LINE OPD REGISTRATIONSOTTO BIHARCOVID 19 MEDICAL ARTICLES UPDATEJOURNAL of  IGIMS - PATNANIRFEMPLOYEE CORNER+more",,open
16165,,+more,IGIMS,General,General,Bihar,Unknown,,,https://igims.org/topics.aspx?mid=Mission,+more,,open
16167,,Hollywood Multimedia Ltd.,IGIMS,General,General,Bihar,Unknown,,,http://www.hollywoodlogin.com,Designed & developed by:Hollywood Multimedia Ltd.,,open
16168,,1. Notice: For Upper Division Clerk,UP,General,General,Bihar,Unknown,,,https://rmrims.org.in/,1. Notice: For Upper Division Clerk,,open
16169,,Notices,AIIMS Deoghar,General,General,Bihar,Unknown,,,https://aiimsdeoghar.edu.in/,Notices,,open
16171,,Twitter,IIM Bodhgaya,General,General,Bihar,Unknown,,,https://twitter.com/IIMBodhGaya?ref_src=twsrc%5Etfw,TwitterTweets by IIMBodhGaya,,open
16172,,Facebook,IIM Bodhgaya,General,Education,Bihar,Unknown,,,https://www.facebook.com/iimbodhgaya/,FacebookIIM Bodh Gaya,,open
16174,,LTE for Providing and Fixing of Modular Kitchen and Customized Wardrobe,IIIT Bhagalpur,General,Social Welfare,Bihar,Unknown,,,https://iiitbh.ac.in/,LTE for Providing and Fixing of Modular Kitchen and Customized Wardrobe,,open
16177,,Smt. Droupadi MurmuHon’ble President of IndiaRead More,UP,General,General,Bihar,Unknown,,,https://cusb.ac.in/index.php?option=com_content&view=article&id=16:visitor&catid=2&Itemid=120,Smt. Droupadi MurmuHon’ble President of IndiaRead More,,open
16178,,Dr. C.P ThakurChancellorRead More,CUSAT Bihar,General,General,Bihar,Unknown,,,https://cusb.ac.in/index.php?option=com_content&view=article&id=17:chancellor&catid=2&Itemid=121,Dr. C.P ThakurChancellorRead More,,open
16179,,Prof. K. N. SinghVice-ChancellorRead More,CUSAT Bihar,General,General,Bihar,Unknown,,,https://cusb.ac.in/index.php?option=com_content&view=article&id=18:vice-chancellor&Itemid=122&catid=2,Prof. K. N. SinghVice-ChancellorRead More,,open
16180,,Quick Links,CUSAT Bihar,General,General,Bihar,Unknown,,,https://cusb.ac.in/index.php?option=com_content&view=article&id=445:download&catid=2&Itemid=591,Quick LinksDownloadAcademic Notices / Exam NoticesCommittee & CellsUpcoming EventsTendersRecruitment,,open
16181,,Download the Affidavit in Hindi|EnglishNotification Anti-Ragging Committee and Anti-ragging Squad CUSBNotification No.- 3022 dated 06.05.2023 Nodal Officer Anti RaggingModification Notification regarding Anti-Ragging Committee Anti-Ragging Squad for Girls HostelRead more >>,CUSAT Bihar,General,Social Welfare,Bihar,Unknown,,,https://old.cusb.ac.in/wp-content/uploads/2021/06/anx_hindi.pdf,Download the Affidavit in Hindi|EnglishNotification Anti-Ragging Committee and Anti-ragging Squad CUSBNotification No.- 3022 dated 06.05.2023 Nodal Officer Anti RaggingModification Notification regarding Anti-Ragging Committee Anti-Ragging Squad for Girls HostelRead more >>,,open
16183,,Vice Chancellor Message,MGCU,General,General,Bihar,Unknown,,,https://mgcub.ac.in/#HVCModal,"Vice Chancellor MessageProf. Sanjay SrivastavaWelcome to MAHATMA GANDHI CENTRAL UNIVERSITY, Motihari, Bihar. Established in the East Champaran district of Bihar, this is the 41st Central University of India.Hon'ble Vice-Chancellor'sRead more",,open
16184,,The university,MGCU,General,Education,Bihar,Unknown,,,https://mgcub.ac.in/#uniDocumentaryModal,"The universityMAHATMA GANDHI CENTRAL UNIVERSITY came into existence by an Act of Parliament, Central Universities (Amendment) Act 2014(No 35 of 2014). The University became functional on 3 rd February 2016. MGCU is situated in Motihari (Bankat), on National Highway 28.DocumentaryRead more",,open
16185,,University Administrators,MGCU,General,Education,Bihar,Unknown,,,https://presidentofindia.nic.in/Profile,"University AdministratorsSmt. Droupadi MurmuThe President of India, Hon'ble VisitorRead morePadma Shri Dr Mahesh SharmaHon'ble ChancellorRead more",,open
16186,,Padma Shri Dr Mahesh SharmaHon'ble ChancellorRead more,MGCU,General,General,Bihar,Unknown,,,https://mgcub.ac.in/about/chancellor,Padma Shri Dr Mahesh SharmaHon'ble ChancellorRead more,,open
16188,,Prof. Sanjay SrivastavaHon'ble Vice-ChancellorRead more,MGCU,General,Social Welfare,Bihar,Unknown,,,https://mgcub.ac.in/about/vice-chancellor,Prof. Sanjay SrivastavaHon'ble Vice-ChancellorRead more,,open
16189,,"03/03/2026⦿ Notice Inviting BidsProcurement Cell, Pusa",RPCAU,Goods,General,Bihar,Unknown,2026-03-03 00:00:00.000000,,https://rpcau.ac.in/wp-content/uploads/2026/03/notice-inviting-bids-896_0001.pdf,"03/03/2026⦿ Notice Inviting BidsProcurement Cell, Pusa",,open
16190,,"03/03/2026⦿ Advertisement Notice for the post of Senior Research Fellow (SRF) and Young Professional-II (YP-II) against Advt. No.- 01/RPCAU/Temp./2026 dated: 03/03/2026RPCAU, Pusa",RPCAU,General,Social Welfare,Bihar,Unknown,2026-03-03 00:00:00.000000,,https://rpcau.ac.in/advertisement-notice-for-the-post-of-senior-research-fellow-srf-and-young-professional-ii-yp-ii-against-advt-no-01-rpcau-temp-2026-dated-03-03-2026/,"03/03/2026⦿ Advertisement Notice for the post of Senior Research Fellow (SRF) and Young Professional-II (YP-II) against Advt. No.- 01/RPCAU/Temp./2026 dated: 03/03/2026RPCAU, Pusa",,open
16191,,"03/03/2026⦿ GEM BID for the Purchase of E-CartProcurement Cell, Pusa",RPCAU,Goods,General,Bihar,Unknown,2026-03-03 00:00:00.000000,,https://rpcau.ac.in/wp-content/uploads/2026/03/888-Notice-Iviting-Bids_0001.pdf,"03/03/2026⦿ GEM BID for the Purchase of E-CartProcurement Cell, Pusa",,open
16192,,"02/03/2026⦿ Short Tender Notice regarding extension of last date for Food Arrangements of Kisan Mela – 2026RPCAU, Pusa",RPCAU,General,Social Welfare,Bihar,Unknown,2026-03-02 00:00:00.000000,,https://rpcau.ac.in/wp-content/uploads/2026/03/Short-Tender-Notice-during-Kisan-Mela-2026.pdf,"02/03/2026⦿ Short Tender Notice regarding extension of last date for Food Arrangements of Kisan Mela – 2026RPCAU, Pusa",,open
16193,,"02/03/2026⦿ National Seminar On Climate Resilient Sugarcane TechnologySRI, Pusa",RPCAU,General,General,Bihar,Unknown,2026-03-02 00:00:00.000000,,https://rpcau.ac.in/wp-content/uploads/2026/03/National-Seminar-on-Climate-Resilient-Sugarcane-Technology-9-10-March-2026.pdf,"02/03/2026⦿ National Seminar On Climate Resilient Sugarcane TechnologySRI, Pusa",,open
16194,,"28/02/2026⦿ पूसा प्रक्षेत्र के अंतर्गत लाट वाइज लॉग एवं अन्य जलावन की लकड़ी की पुनः निविदा सुचनाTCA, Dholi",RPCAU,General,General,Bihar,Unknown,2026-02-28 00:00:00.000000,,https://rpcau.ac.in/wp-content/uploads/2026/03/reauction_notice.pdf,"28/02/2026⦿ पूसा प्रक्षेत्र के अंतर्गत लाट वाइज लॉग एवं अन्य जलावन की लकड़ी की पुनः निविदा सुचनाTCA, Dholi",,open
